location,origin_date,target_date,output_type,output_type_id,value,target
Cal_S,2026-06-30,2026-07-31,quantile,0.01,0.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.05,0.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.1,0.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.15,0.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.2,0.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.25,1.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.3,1.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.35,1.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.4,1.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.45,1.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.5,1.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.55,2.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.6,2.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.65,2.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.7,2.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.75,3.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.8,3.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.85,3.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.9,4.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.95,5.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.99,7.0,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.01,0.0,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.05,0.0,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.1,0.0,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.15,0.0,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.2,1.0,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.25,1.0,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.3,1.0,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.35,1.0,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.4,1.0,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.45,1.0,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.5,2.0,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.55,2.0,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.6,2.0,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.65,2.0,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.7,3.0,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.75,3.0,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.8,3.0,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.85,4.0,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.9,4.0,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.95,6.0,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.99,8.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.01,0.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.05,0.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.1,1.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.15,1.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.2,1.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.25,2.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.3,2.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.35,2.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.4,3.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.45,3.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.5,3.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.55,4.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.6,4.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.65,4.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.7,5.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.75,5.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.8,6.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.85,6.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.9,7.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.95,8.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.99,11.0,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.01,0.0,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.05,1.0,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.1,1.0,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.15,2.0,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.2,2.0,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.25,3.0,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.3,3.0,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.35,3.0,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.4,4.0,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.45,4.0,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.5,4.0,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.55,5.0,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.6,5.0,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.65,5.0,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.7,6.0,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.75,6.0,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.8,7.0,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.85,8.0,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.9,9.0,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.95,10.0,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.99,14.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.01,0.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.05,1.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.1,2.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.15,2.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.2,2.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.25,3.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.3,3.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.35,3.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.4,4.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.45,4.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.5,5.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.55,5.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.6,5.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.65,6.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.7,6.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.75,7.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.8,7.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.85,8.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.9,9.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.95,11.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.99,14.0,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.01,1.0,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.05,2.0,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.1,3.0,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.15,3.0,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.2,4.0,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.25,4.0,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.3,5.0,WNV cases
