location,origin_date,target_date,output_type,output_type_id,value,target
ScV_N,2026-06-30,2026-07-31,quantile,0.01,0.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.05,0.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.1,0.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.15,0.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.2,0.12198358203190582,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.25,0.3954226975657428,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.3,0.6688618130995795,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.35,0.9423009286334166,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.4,1.252505341120639,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.45,1.5725425294419215,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.5,1.8925797177632049,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.55,2.2674051142412672,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.6,2.669911116612028,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.65,3.0943175838657035,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.7,3.61854989479313,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.75,4.190643576224535,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.8,4.890601403765425,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.85,5.797634037433997,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.9,7.022942421821952,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.95,9.140767684339647,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.99,13.976662347841378,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.01,0.0,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.05,0.0,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.1,0.0,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.15,0.2556065915421961,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.2,0.6317932252549138,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.25,1.0083670703272727,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.3,1.402807627888723,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.35,1.7972481854501734,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.4,2.216042014668015,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.45,2.6605946335830613,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.5,3.122828325054723,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.55,3.642134843130485,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.6,4.193054919464392,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.65,4.81405239666214,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.7,5.528825032458712,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.75,6.347879163062757,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.8,7.338723403645663,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.85,8.602826918692474,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.9,10.357388881606663,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.95,13.329005453129053,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.99,20.204822928392055,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.01,0.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.05,0.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.1,0.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.15,0.021755444167919084,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.2,0.3362370467976144,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.25,0.6507186494273097,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.3,0.9652002520570049,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.35,1.3100849049161702,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.4,1.6587524935180527,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.45,2.0088386712764477,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.5,2.4241653685544224,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.55,2.8394920658323977,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.6,3.3144051782671657,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.65,3.826851211294312,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.7,4.428161954335311,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.75,5.096040223925083,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.8,5.926084076179351,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.85,6.9782151145855895,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.9,8.484903963402449,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.95,10.957299294618448,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.99,16.76349655070567,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.01,0.0,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.05,0.08501231538152336,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.1,0.9301596641807011,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.15,1.706743084633075,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.2,2.4675467873754067,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.25,3.226220950178372,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.3,3.9939255374531886,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.35,4.792824056731469,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.4,5.626817189470035,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.45,6.505982408906093,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.5,7.444076947470883,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.55,8.458644887760666,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.6,9.569078556460196,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.65,10.800363357859727,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.7,12.203035277999334,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.75,13.837134268407807,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.8,15.80814880495593,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.85,18.31794727149045,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.9,21.800882831255343,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.95,27.699800997087497,WNV cases
SnJ_S,2026-06-30,2026-07-31,quantile,0.99,41.29053610503285,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.01,0.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.05,0.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.1,0.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.15,0.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.2,0.1084435464015555,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.25,0.38012038679990173,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.3,0.6517972271982478,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.35,0.9234740675965942,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.4,1.229815609541898,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.45,1.5497504708041445,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.5,1.8696853320663918,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.55,2.239068767937205,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.6,2.6424352647193494,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.65,3.0599985469148376,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.7,3.58839315200592,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.75,4.155960458393333,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.8,4.86158805901693,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.85,5.768305264057093,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.9,6.990548383353525,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.95,9.120516177457025,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.99,14.010690044616384,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.01,0.0,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.05,0.7152752822887193,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.1,2.009963868662773,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.15,3.181148700751523,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.2,4.323149550634054,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.25,5.462546368913366,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.3,6.62212859637693,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.35,7.8177312783635475,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.4,9.064866821774988,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.45,10.38968532828933,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.5,11.797311387335291,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.55,13.32189275461244,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.6,14.986457834256532,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.65,16.845978902603445,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.7,18.94973588111568,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.75,21.409620922754716,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.8,24.36695161082234,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.85,28.1253754716035,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.9,33.37125903934526,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.95,42.21587988086008,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.99,62.670263271471754,WNV cases
ScV_N,2026-06-30,2026-08-31,quantile,0.01,0.0,WNV cases
ScV_N,2026-06-30,2026-08-31,quantile,0.05,0.0,WNV cases
ScV_N,2026-06-30,2026-08-31,quantile,0.1,0.0,WNV cases
ScV_N,2026-06-30,2026-08-31,quantile,0.15,0.16484514696313796,WNV cases
ScV_N,2026-06-30,2026-08-31,quantile,0.2,0.5172694517291041,WNV cases
ScV_N,2026-06-30,2026-08-31,quantile,0.25,0.8696937564950702,WNV cases
ScV_N,2026-06-30,2026-08-31,quantile,0.3,1.238580552509455,WNV cases
ScV_N,2026-06-30,2026-08-31,quantile,0.35,1.6171251196259986,WNV cases
ScV_N,2026-06-30,2026-08-31,quantile,0.4,1.9956696867425423,WNV cases
ScV_N,2026-06-30,2026-08-31,quantile,0.45,2.43093443229042,WNV cases
ScV_N,2026-06-30,2026-08-31,quantile,0.5,2.8668555294820255,WNV cases
ScV_N,2026-06-30,2026-08-31,quantile,0.55,3.3614543415515676,WNV cases
ScV_N,2026-06-30,2026-08-31,quantile,0.6,3.8818563781449384,WNV cases
ScV_N,2026-06-30,2026-08-31,quantile,0.65,4.489753199254261,WNV cases
ScV_N,2026-06-30,2026-08-31,quantile,0.7,5.152228351813337,WNV cases
ScV_N,2026-06-30,2026-08-31,quantile,0.75,5.934174772844568,WNV cases
ScV_N,2026-06-30,2026-08-31,quantile,0.8,6.894104309220203,WNV cases
ScV_N,2026-06-30,2026-08-31,quantile,0.85,8.11648733452739,WNV cases
ScV_N,2026-06-30,2026-08-31,quantile,0.9,9.830408330622186,WNV cases
ScV_N,2026-06-30,2026-08-31,quantile,0.95,12.754697034145998,WNV cases
ScV_N,2026-06-30,2026-08-31,quantile,0.99,19.63666112474598,WNV cases
ScV_S,2026-06-30,2026-08-31,quantile,0.01,0.0,WNV cases
ScV_S,2026-06-30,2026-08-31,quantile,0.05,0.0,WNV cases
ScV_S,2026-06-30,2026-08-31,quantile,0.1,0.0,WNV cases
ScV_S,2026-06-30,2026-08-31,quantile,0.15,0.0,WNV cases
ScV_S,2026-06-30,2026-08-31,quantile,0.2,0.04129224723823865,WNV cases
ScV_S,2026-06-30,2026-08-31,quantile,0.25,0.30135276982335735,WNV cases
ScV_S,2026-06-30,2026-08-31,quantile,0.3,0.5614132924084759,WNV cases
ScV_S,2026-06-30,2026-08-31,quantile,0.35,0.8214738149935947,WNV cases
ScV_S,2026-06-30,2026-08-31,quantile,0.4,1.0979706794764936,WNV cases
ScV_S,2026-06-30,2026-08-31,quantile,0.45,1.4104562758435355,WNV cases
ScV_S,2026-06-30,2026-08-31,quantile,0.5,1.7229418722105785,WNV cases
ScV_S,2026-06-30,2026-08-31,quantile,0.55,2.0456441454124747,WNV cases
ScV_S,2026-06-30,2026-08-31,quantile,0.6,2.4482452505021834,WNV cases
ScV_S,2026-06-30,2026-08-31,quantile,0.65,2.8508463555918917,WNV cases
ScV_S,2026-06-30,2026-08-31,quantile,0.7,3.3383207235046664,WNV cases
ScV_S,2026-06-30,2026-08-31,quantile,0.75,3.8757429442340494,WNV cases
ScV_S,2026-06-30,2026-08-31,quantile,0.8,4.564107937955076,WNV cases
ScV_S,2026-06-30,2026-08-31,quantile,0.85,5.411715114104718,WNV cases
ScV_S,2026-06-30,2026-08-31,quantile,0.9,6.595078577153517,WNV cases
ScV_S,2026-06-30,2026-08-31,quantile,0.95,8.593745886952842,WNV cases
ScV_S,2026-06-30,2026-08-31,quantile,0.99,13.198515060665216,WNV cases
SnJ_N,2026-06-30,2026-08-31,quantile,0.01,0.0,WNV cases
SnJ_N,2026-06-30,2026-08-31,quantile,0.05,0.0,WNV cases
SnJ_N,2026-06-30,2026-08-31,quantile,0.1,0.12594260408020944,WNV cases
SnJ_N,2026-06-30,2026-08-31,quantile,0.15,0.6027766643371337,WNV cases
SnJ_N,2026-06-30,2026-08-31,quantile,0.2,1.0793326613657654,WNV cases
SnJ_N,2026-06-30,2026-08-31,quantile,0.25,1.5545012422688593,WNV cases
SnJ_N,2026-06-30,2026-08-31,quantile,0.3,2.031693717598048,WNV cases
SnJ_N,2026-06-30,2026-08-31,quantile,0.35,2.5392754017667656,WNV cases
SnJ_N,2026-06-30,2026-08-31,quantile,0.4,3.0519100726339676,WNV cases
SnJ_N,2026-06-30,2026-08-31,quantile,0.45,3.614228483325327,WNV cases
SnJ_N,2026-06-30,2026-08-31,quantile,0.5,4.200513878183649,WNV cases
SnJ_N,2026-06-30,2026-08-31,quantile,0.55,4.839169380619921,WNV cases
SnJ_N,2026-06-30,2026-08-31,quantile,0.6,5.549921077390099,WNV cases
SnJ_N,2026-06-30,2026-08-31,quantile,0.65,6.3318019804522505,WNV cases
SnJ_N,2026-06-30,2026-08-31,quantile,0.7,7.220348913515143,WNV cases
