location,origin_date,target_date,output_type,output_type_id,value,target
Cal_S,2026-04-30,2026-05-31,quantile,0.01,0.0,WNV cases
Cal_S,2026-04-30,2026-05-31,quantile,0.05,0.0,WNV cases
Cal_S,2026-04-30,2026-05-31,quantile,0.1,0.0,WNV cases
Cal_S,2026-04-30,2026-05-31,quantile,0.15,0.0,WNV cases
Cal_S,2026-04-30,2026-05-31,quantile,0.2,0.0,WNV cases
Cal_S,2026-04-30,2026-05-31,quantile,0.25,0.0,WNV cases
Cal_S,2026-04-30,2026-05-31,quantile,0.3,0.0,WNV cases
Cal_S,2026-04-30,2026-05-31,quantile,0.35,0.0,WNV cases
Cal_S,2026-04-30,2026-05-31,quantile,0.4,0.0,WNV cases
Cal_S,2026-04-30,2026-05-31,quantile,0.45,0.0,WNV cases
Cal_S,2026-04-30,2026-05-31,quantile,0.5,0.17119184136390725,WNV cases
Cal_S,2026-04-30,2026-05-31,quantile,0.55,0.34904502034187374,WNV cases
Cal_S,2026-04-30,2026-05-31,quantile,0.6,0.5268981993198402,WNV cases
Cal_S,2026-04-30,2026-05-31,quantile,0.65,0.7938152968883524,WNV cases
Cal_S,2026-04-30,2026-05-31,quantile,0.7,1.1497963130474105,WNV cases
Cal_S,2026-04-30,2026-05-31,quantile,0.75,1.5057773292064724,WNV cases
Cal_S,2026-04-30,2026-05-31,quantile,0.8,2.7888708651065865,WNV cases
Cal_S,2026-04-30,2026-05-31,quantile,0.85,4.071964401006704,WNV cases
Cal_S,2026-04-30,2026-05-31,quantile,0.9,6.72794249653818,WNV cases
Cal_S,2026-04-30,2026-05-31,quantile,0.95,14.295302778482425,WNV cases
Cal_S,2026-04-30,2026-05-31,quantile,0.99,47.30243510007858,WNV cases
LAO_G,2026-04-30,2026-05-31,quantile,0.01,0.0,WNV cases
LAO_G,2026-04-30,2026-05-31,quantile,0.05,0.0,WNV cases
LAO_G,2026-04-30,2026-05-31,quantile,0.1,0.0,WNV cases
LAO_G,2026-04-30,2026-05-31,quantile,0.15,0.0,WNV cases
LAO_G,2026-04-30,2026-05-31,quantile,0.2,0.0,WNV cases
LAO_G,2026-04-30,2026-05-31,quantile,0.25,0.0,WNV cases
LAO_G,2026-04-30,2026-05-31,quantile,0.3,0.0,WNV cases
LAO_G,2026-04-30,2026-05-31,quantile,0.35,0.0,WNV cases
LAO_G,2026-04-30,2026-05-31,quantile,0.4,0.0,WNV cases
LAO_G,2026-04-30,2026-05-31,quantile,0.45,0.0,WNV cases
LAO_G,2026-04-30,2026-05-31,quantile,0.5,0.10001154616475141,WNV cases
LAO_G,2026-04-30,2026-05-31,quantile,0.55,0.26456969901919414,WNV cases
LAO_G,2026-04-30,2026-05-31,quantile,0.6,0.4291278518736369,WNV cases
LAO_G,2026-04-30,2026-05-31,quantile,0.65,0.7306535840034496,WNV cases
LAO_G,2026-04-30,2026-05-31,quantile,0.7,1.169146895408632,WNV cases
LAO_G,2026-04-30,2026-05-31,quantile,0.75,1.6076402068138178,WNV cases
LAO_G,2026-04-30,2026-05-31,quantile,0.8,2.88222581148148,WNV cases
LAO_G,2026-04-30,2026-05-31,quantile,0.85,4.156811416149145,WNV cases
LAO_G,2026-04-30,2026-05-31,quantile,0.9,6.629874408245103,WNV cases
LAO_G,2026-04-30,2026-05-31,quantile,0.95,14.229086086153972,WNV cases
LAO_G,2026-04-30,2026-05-31,quantile,0.99,46.373910784721375,WNV cases
ScV_N,2026-04-30,2026-05-31,quantile,0.01,0.0,WNV cases
ScV_N,2026-04-30,2026-05-31,quantile,0.05,0.0,WNV cases
ScV_N,2026-04-30,2026-05-31,quantile,0.1,0.0,WNV cases
ScV_N,2026-04-30,2026-05-31,quantile,0.15,0.0,WNV cases
ScV_N,2026-04-30,2026-05-31,quantile,0.2,0.0,WNV cases
ScV_N,2026-04-30,2026-05-31,quantile,0.25,0.0,WNV cases
ScV_N,2026-04-30,2026-05-31,quantile,0.3,0.0,WNV cases
ScV_N,2026-04-30,2026-05-31,quantile,0.35,0.0,WNV cases
ScV_N,2026-04-30,2026-05-31,quantile,0.4,0.0,WNV cases
ScV_N,2026-04-30,2026-05-31,quantile,0.45,0.0,WNV cases
ScV_N,2026-04-30,2026-05-31,quantile,0.5,0.13800706714391747,WNV cases
ScV_N,2026-04-30,2026-05-31,quantile,0.55,0.3154410198330885,WNV cases
ScV_N,2026-04-30,2026-05-31,quantile,0.6,0.4928749725222595,WNV cases
ScV_N,2026-04-30,2026-05-31,quantile,0.65,0.7575626134872446,WNV cases
ScV_N,2026-04-30,2026-05-31,quantile,0.7,1.1095039427280438,WNV cases
ScV_N,2026-04-30,2026-05-31,quantile,0.75,1.4614452719688473,WNV cases
ScV_N,2026-04-30,2026-05-31,quantile,0.8,2.7376052558422126,WNV cases
ScV_N,2026-04-30,2026-05-31,quantile,0.85,4.013765239715582,WNV cases
ScV_N,2026-04-30,2026-05-31,quantile,0.9,6.536336906254308,WNV cases
ScV_N,2026-04-30,2026-05-31,quantile,0.95,14.00863444432615,WNV cases
ScV_N,2026-04-30,2026-05-31,quantile,0.99,47.025551080703735,WNV cases
ScV_S,2026-04-30,2026-05-31,quantile,0.01,0.0,WNV cases
ScV_S,2026-04-30,2026-05-31,quantile,0.05,0.0,WNV cases
ScV_S,2026-04-30,2026-05-31,quantile,0.1,0.0,WNV cases
ScV_S,2026-04-30,2026-05-31,quantile,0.15,0.0,WNV cases
ScV_S,2026-04-30,2026-05-31,quantile,0.2,0.0,WNV cases
ScV_S,2026-04-30,2026-05-31,quantile,0.25,0.0,WNV cases
ScV_S,2026-04-30,2026-05-31,quantile,0.3,0.0,WNV cases
ScV_S,2026-04-30,2026-05-31,quantile,0.35,0.0,WNV cases
ScV_S,2026-04-30,2026-05-31,quantile,0.4,0.0,WNV cases
ScV_S,2026-04-30,2026-05-31,quantile,0.45,0.0,WNV cases
ScV_S,2026-04-30,2026-05-31,quantile,0.5,0.0,WNV cases
ScV_S,2026-04-30,2026-05-31,quantile,0.55,0.1608187131583696,WNV cases
ScV_S,2026-04-30,2026-05-31,quantile,0.6,0.3295085735619075,WNV cases
ScV_S,2026-04-30,2026-05-31,quantile,0.65,0.5823173642158517,WNV cases
ScV_S,2026-04-30,2026-05-31,quantile,0.7,0.9192450851202023,WNV cases
ScV_S,2026-04-30,2026-05-31,quantile,0.75,1.2561728060245572,WNV cases
ScV_S,2026-04-30,2026-05-31,quantile,0.8,2.5423446953296702,WNV cases
ScV_S,2026-04-30,2026-05-31,quantile,0.85,3.828516584634786,WNV cases
ScV_S,2026-04-30,2026-05-31,quantile,0.9,6.373936966061609,WNV cases
ScV_S,2026-04-30,2026-05-31,quantile,0.95,13.928827434778201,WNV cases
ScV_S,2026-04-30,2026-05-31,quantile,0.99,46.95421859622002,WNV cases
SnJ_N,2026-04-30,2026-05-31,quantile,0.01,0.0,WNV cases
SnJ_N,2026-04-30,2026-05-31,quantile,0.05,0.0,WNV cases
SnJ_N,2026-04-30,2026-05-31,quantile,0.1,0.0,WNV cases
SnJ_N,2026-04-30,2026-05-31,quantile,0.15,0.0,WNV cases
SnJ_N,2026-04-30,2026-05-31,quantile,0.2,0.0,WNV cases
SnJ_N,2026-04-30,2026-05-31,quantile,0.25,0.0,WNV cases
SnJ_N,2026-04-30,2026-05-31,quantile,0.3,0.0,WNV cases
SnJ_N,2026-04-30,2026-05-31,quantile,0.35,0.09842330217361506,WNV cases
SnJ_N,2026-04-30,2026-05-31,quantile,0.4,0.3578800618648534,WNV cases
SnJ_N,2026-04-30,2026-05-31,quantile,0.45,0.541163641214371,WNV cases
SnJ_N,2026-04-30,2026-05-31,quantile,0.5,0.724447220563889,WNV cases
SnJ_N,2026-04-30,2026-05-31,quantile,0.55,0.907730799913407,WNV cases
SnJ_N,2026-04-30,2026-05-31,quantile,0.6,1.091014379262925,WNV cases
SnJ_N,2026-04-30,2026-05-31,quantile,0.65,1.3793538689613354,WNV cases
SnJ_N,2026-04-30,2026-05-31,quantile,0.7,1.7727492690086377,WNV cases
SnJ_N,2026-04-30,2026-05-31,quantile,0.75,2.1661446690559445,WNV cases
SnJ_N,2026-04-30,2026-05-31,quantile,0.8,3.423644459247593,WNV cases
SnJ_N,2026-04-30,2026-05-31,quantile,0.85,4.681144249439244,WNV cases
SnJ_N,2026-04-30,2026-05-31,quantile,0.9,7.1434773206710975,WNV cases
SnJ_N,2026-04-30,2026-05-31,quantile,0.95,14.627339243888843,WNV cases
SnJ_N,2026-04-30,2026-05-31,quantile,0.99,47.23619210720062,WNV cases
SnJ_S,2026-04-30,2026-05-31,quantile,0.01,0.0,WNV cases
SnJ_S,2026-04-30,2026-05-31,quantile,0.05,0.0,WNV cases
SnJ_S,2026-04-30,2026-05-31,quantile,0.1,0.0,WNV cases
SnJ_S,2026-04-30,2026-05-31,quantile,0.15,0.0,WNV cases
SnJ_S,2026-04-30,2026-05-31,quantile,0.2,0.0,WNV cases
SnJ_S,2026-04-30,2026-05-31,quantile,0.25,0.0,WNV cases
SnJ_S,2026-04-30,2026-05-31,quantile,0.3,0.0,WNV cases
SnJ_S,2026-04-30,2026-05-31,quantile,0.35,0.0,WNV cases
SnJ_S,2026-04-30,2026-05-31,quantile,0.4,0.07196501418948222,WNV cases
SnJ_S,2026-04-30,2026-05-31,quantile,0.45,0.2538624264299872,WNV cases
SnJ_S,2026-04-30,2026-05-31,quantile,0.5,0.43575983867049256,WNV cases
SnJ_S,2026-04-30,2026-05-31,quantile,0.55,0.617657250910998,WNV cases
SnJ_S,2026-04-30,2026-05-31,quantile,0.6,0.7995546631515034,WNV cases
SnJ_S,2026-04-30,2026-05-31,quantile,0.65,1.0780578315258036,WNV cases
SnJ_S,2026-04-30,2026-05-31,quantile,0.7,1.4531667560338988,WNV cases
SnJ_S,2026-04-30,2026-05-31,quantile,0.75,1.8282756805419982,WNV cases
SnJ_S,2026-04-30,2026-05-31,quantile,0.8,3.169819784164433,WNV cases
SnJ_S,2026-04-30,2026-05-31,quantile,0.85,4.511363887786871,WNV cases
SnJ_S,2026-04-30,2026-05-31,quantile,0.9,7.022249519824998,WNV cases
SnJ_S,2026-04-30,2026-05-31,quantile,0.95,14.464494988322246,WNV cases
SnJ_S,2026-04-30,2026-05-31,quantile,0.99,47.06278347969055,WNV cases
Cal_S,2026-04-30,2026-06-30,quantile,0.01,0.0,WNV cases
Cal_S,2026-04-30,2026-06-30,quantile,0.05,0.0,WNV cases
Cal_S,2026-04-30,2026-06-30,quantile,0.1,0.0,WNV cases
Cal_S,2026-04-30,2026-06-30,quantile,0.15,0.0,WNV cases
Cal_S,2026-04-30,2026-06-30,quantile,0.2,0.0,WNV cases
Cal_S,2026-04-30,2026-06-30,quantile,0.25,0.0,WNV cases
Cal_S,2026-04-30,2026-06-30,quantile,0.3,0.0,WNV cases
Cal_S,2026-04-30,2026-06-30,quantile,0.35,0.0,WNV cases
Cal_S,2026-04-30,2026-06-30,quantile,0.4,0.30867210254073185,WNV cases
Cal_S,2026-04-30,2026-06-30,quantile,0.45,0.4552900560200216,WNV cases
Cal_S,2026-04-30,2026-06-30,quantile,0.5,0.6019080094993118,WNV cases
Cal_S,2026-04-30,2026-06-30,quantile,0.55,0.7485259629786019,WNV cases
Cal_S,2026-04-30,2026-06-30,quantile,0.6,0.895143916457892,WNV cases
Cal_S,2026-04-30,2026-06-30,quantile,0.65,1.252695351839067,WNV cases
Cal_S,2026-04-30,2026-06-30,quantile,0.7,1.8211802691221257,WNV cases
Cal_S,2026-04-30,2026-06-30,quantile,0.75,2.389665186405187,WNV cases
Cal_S,2026-04-30,2026-06-30,quantile,0.8,3.629360520839695,WNV cases
Cal_S,2026-04-30,2026-06-30,quantile,0.85,4.869055855274206,WNV cases
Cal_S,2026-04-30,2026-06-30,quantile,0.9,7.120599985122695,WNV cases
Cal_S,2026-04-30,2026-06-30,quantile,0.95,14.800350666046128,WNV cases
Cal_S,2026-04-30,2026-06-30,quantile,0.99,46.38125617802143,WNV cases
LAO_G,2026-04-30,2026-06-30,quantile,0.01,0.0,WNV cases
LAO_G,2026-04-30,2026-06-30,quantile,0.05,0.0,WNV cases
LAO_G,2026-04-30,2026-06-30,quantile,0.1,0.0,WNV cases
LAO_G,2026-04-30,2026-06-30,quantile,0.15,0.0,WNV cases
LAO_G,2026-04-30,2026-06-30,quantile,0.2,0.0,WNV cases
LAO_G,2026-04-30,2026-06-30,quantile,0.25,0.0,WNV cases
LAO_G,2026-04-30,2026-06-30,quantile,0.3,0.0,WNV cases
LAO_G,2026-04-30,2026-06-30,quantile,0.35,0.0,WNV cases
LAO_G,2026-04-30,2026-06-30,quantile,0.4,0.0,WNV cases
LAO_G,2026-04-30,2026-06-30,quantile,0.45,0.0,WNV cases
LAO_G,2026-04-30,2026-06-30,quantile,0.5,0.0,WNV cases
LAO_G,2026-04-30,2026-06-30,quantile,0.55,0.0,WNV cases
LAO_G,2026-04-30,2026-06-30,quantile,0.6,0.15148045420646739,WNV cases
LAO_G,2026-04-30,2026-06-30,quantile,0.65,0.45674846172332884,WNV cases
LAO_G,2026-04-30,2026-06-30,quantile,0.7,0.891926813125612,WNV cases
LAO_G,2026-04-30,2026-06-30,quantile,0.75,1.3271051645278984,WNV cases
LAO_G,2026-04-30,2026-06-30,quantile,0.8,2.540334504842762,WNV cases
LAO_G,2026-04-30,2026-06-30,quantile,0.85,3.753563845157628,WNV cases
LAO_G,2026-04-30,2026-06-30,quantile,0.9,6.158909820020215,WNV cases
LAO_G,2026-04-30,2026-06-30,quantile,0.95,13.550154864788043,WNV cases
LAO_G,2026-04-30,2026-06-30,quantile,0.99,45.00751090049744,WNV cases
ScV_N,2026-04-30,2026-06-30,quantile,0.01,0.0,WNV cases
ScV_N,2026-04-30,2026-06-30,quantile,0.05,0.0,WNV cases
ScV_N,2026-04-30,2026-06-30,quantile,0.1,0.0,WNV cases
ScV_N,2026-04-30,2026-06-30,quantile,0.15,0.0,WNV cases
ScV_N,2026-04-30,2026-06-30,quantile,0.2,0.0,WNV cases
ScV_N,2026-04-30,2026-06-30,quantile,0.25,0.0,WNV cases
ScV_N,2026-04-30,2026-06-30,quantile,0.3,0.03966804221272502,WNV cases
ScV_N,2026-04-30,2026-06-30,quantile,0.35,0.4174031279981143,WNV cases
ScV_N,2026-04-30,2026-06-30,quantile,0.4,0.6905530601739888,WNV cases
ScV_N,2026-04-30,2026-06-30,quantile,0.45,0.8591178387403491,WNV cases
ScV_N,2026-04-30,2026-06-30,quantile,0.5,1.0276826173067097,WNV cases
ScV_N,2026-04-30,2026-06-30,quantile,0.55,1.1962473958730704,WNV cases
